"tipo_elem";distrito;id;"cod_cent";"nombre";utm_x;utm_y;longitud;latitud
"URB";21;6351;"57405";"Brezos - Antonio Sancha -Av. Logroño";450017.010988326;4479184.30018207;-3.58954643610566;40.46182585054343
"URB";21;6352;"57406";"Av. Logroño - Joaquín Ibarra-Las Ramblas";449350.275131215;4478846.066635069;-3.59738315209358;40.45873846688531
"URB";6;4581;"32051";"AV. ASTURIAS E-O(PL. CASTILLA-SAN AQUILINO)";441474.077531121;4479780.0778894;-3.69035835104357;40.46663505599389
"URB";6;4582;"32052";"(AFOROS) AV. ASTURIAS E-O(SAN AQUILINO -MAGNOLIAS)";441356.340799391;4479855.786404351;-3.69175404804728;40.46730876708762
"URB";6;10809;"32059";"SAN AQUILINO N-S (SAN BENITO - AVDA. ASTURIAS)";441449.408514135;4479901.843872804;-3.69066055774259;40.46773023654869
"URB";21;11394;"57408";"TÁCTICO - Alhaurín 19 - Arroyomolino-Av. Logroño";450610.348149071;4480629.788544123;-3.58266093243255;40.47488316444844
"URB";15;6363;"59009";"Virgen del Sagrario - Virgen del Portillo-José del Hierro";444850.623520081;4476483.899174945;-3.65024561163103;40.4371723903244
"URB";15;6364;"59010";"Virgen del Sagrario - Virgen de Lluc-Elfo";444984.403075956;4476270.23151113;-3.6486498647131;40.43525641682683
"URB";15;6365;"59011";"Virgen del Sagrario - Virgen de Lluc-José del Hierro";444951.84729411;4476327.220716832;-3.64903862008945;40.43576765236899
"URB";15;6366;"59012";"Hermanos de Pablo    - Virgen del Portillo-José del Hierro";445120.67674808;4476640.437466471;-3.64707522834715;40.43860043715636
"URB";6;10813;"32060";"PSO.DIRECCION O-E (ALVAREZ-AVDA.ASTURIAS)";440593.177447156;4480385.097283629;-3.70080516852548;40.47202278478882
"URB";8;4585;"33001";"Po CASTELLANA N-S(M-30 -AV. MONFORTE DE  LEMOS)";441781.592001983;4480855.900020367;-3.68682996498578;40.47634811840244
"URB";5;4586;"33002";"DANIEL VAZQUEZ DIAZ E-O(MAURICIO LEGENDRE-Po CASTELLANA)";441907.073285706;4480691.834203299;-3.68533467565178;40.47487893255461
"URB";5;4587;"33003";"SALIDA TUNEL PIO XII E-O(MAURICIO LEGENDRE-Po CASTELLANA)";441884.628010157;4480689.685380005;-3.68559925248016;40.47485800477387
"URB";21;6353;"57407";"Jardines de Aranjuez - Paseo Alameda de Osuna-Av. Logroño";448795.071944203;4478309.30016932;-3.60388780203042;40.45386893279077
"URB";8;4590;"33006";"SALIDA TUNEL N-S(Po CASTELLANA)A 90MTS";441752.376365754;4480701.423299246;-3.68716042454187;40.47495448005135
"URB";15;3793;"59031";"Virgen del Portillo - Virgen del Sagrario-Virgen de Loreto";444455.571981163;4476313.480159809;-3.65488833248882;40.43561087341284
"URB";8;4591;"33007";"SALIDA TUNEL N-S(Po CASTELLANA)A 50MTS";441739.577286844;4480643.270484269;-3.68730606604881;40.4744297177874
"URB";8;4592;"33008";"AV. MONFORTE  LEMOS O-E(AV.MONFORTE DE LEMOS-MAGNOLIAS)";441503.565561099;4480813.862841515;-3.69010587112731;40.47594989376625
"URB";8;4593;"33009";"AV.MONFORTE DE LEMOS E-O(Po CASTELLANA-AV.MONFORTE DE LEMOS)";441694.851301896;4480735.551621019;-3.68784215181709;40.47525788554241
"URB";6;4594;"33010";"SINESIO DELGADO O-E(SINESIO DELGADO-Po CASTELLANA)";441639.503901671;4480636.589988615;-3.68848594974689;40.47436251118435
"URB";6;4595;"33011";"SINESIO DELGADO O-E(CARLOS III-MAGNOLIAS)";441474.624999988;4480649.940190715;-3.69043214447258;40.47447117313671
"URB";15;6367;"59013";"Hermanos de Pablo    - Alcalá-Germán Pérez Carrasco";445348.012059122;4476267.749015549;-3.64436285374896;40.43525802641766
"URB";15;6368;"59014";"Hermanos de Pablo - José del Hierro-Virgen del Portillo";445122.788844866;4476649.294279276;-3.64705109133138;40.43868036351186
"URB";15;6369;"59015";"Virgen del Portillo - José del Hierro-Fernández Cano";445154.963461344;4476720.183113072;-3.64667786599511;40.43932109120747
"URB";15;3792;"59030";"Torrelaguna          - Av. Badajoz-General Kirkpatrick";444627.899407519;4477035.818422181;-3.65291960720783;40.44212957171362
"URB";8;4600;"33017";"ARZOBISPO MORCILLO E-O(ACC.TORRES-PEDRO RICO)";441673.75018926;4481249.799764984;-3.6881383686819;40.47988895996914
"URB";8;4601;"33018";"ARZOBISPO MORCILLO E-O(TUNEL A 180M) (ACC.TORRES-PEDRO RICO)";441661.38526862;4481246.032696305;-3.68828389455314;40.47985415608908
"URB";8;4602;"33019";"ARZOBISPO MORCILLO E-O(TUNEL A 80M)(ACC.TORRES-PEDRO RICO)";441620.445810919;4481263.098738341;-3.68876843988931;40.48000501661631
"URB";8;4603;"33020";"PEDRO RICO S-N(AV.MONFORTE DE LEMOS-ARZOBISPO MORCILLO)";441525.105829021;4481183.658264128;-3.6898858682682;40.47928267674433
"URB";8;4604;"33021";"PEDRO RICO N-S(ARZOBISO MORCILLO-AV. MONFORTE DE LEMOS)";441488.918030087;4481181.996319535;-3.69031262858537;40.47926515622203
"URB";8;4605;"33022";"AV.MONFORTE DE LEMOS E-O(Po CASTELLANA-PEDRO RICO)";441481.437052114;4480923.181276063;-3.69037699921298;40.4769331194024
"URB";20;6388;"64001";"Av. Canillejas a Vicálvaro - Alcalá-Néctar";447769.808225766;4476972.185056209;-3.6158686785505;40.44175962423844
"URB";20;6390;"64003";"Av. Canillejas a Vicálvaro - Julián Camarillo-Etruria";447995.653367585;4476432.163700403;-3.6131615856238;40.43690894380943
"URB";20;6404;"64019";"Av. Arcentales - Albadalejo-Av. Canillejas a Vicálvaro";448228.929133575;4476201.94115444;-3.61039252076469;40.4348495134471
"URB";20;6405;"64020";"Av. Arcentales - Albadalejo-Av. Canillejas a Vicálvaro";447977.328213964;4476132.735854097;-3.61335312604052;40.43421037034045
"URB";5;11450;"33030";"Po CASTELLANA S-N(TRONCO)(MAURICE RAVEL-PADRE FCO.PALAU Y QUER)Po CASTELLANA S-N(LATERAL)(MAURICE RAVEL-PADRE FCO.PALAU Y QUER)";441757.221772869;4480522.194385975;-3.68708680784473;40.47334025173852
"URB";5;11451;"33504";"(FICTICIO)Pº CASTELLANA N-S(33005+33030)";441790.030722148;4480657.402567085;-3.68671219766936;40.47456056309883
