fecha,modo,tipo,coche,tiempo
16/05/2026 10:24:19,SIN_PRIORIDAD,EMERGENCIA,coche_1,246.0
16/05/2026 10:24:19,SIN_PRIORIDAD,EMERGENCIA,coche_2,298.0
16/05/2026 10:24:19,SIN_PRIORIDAD,NORMAL,coche_4,318.0
16/05/2026 10:24:19,SIN_PRIORIDAD,EMERGENCIA,coche_3,351.0
16/05/2026 10:24:19,SIN_PRIORIDAD,NORMAL,coche_5,413.0
16/05/2026 10:24:19,SIN_PRIORIDAD,NORMAL,coche_6,503.0
16/05/2026 10:40:50,CON_PRIORIDAD,EMERGENCIA,coche_1,233.0
16/05/2026 10:40:50,CON_PRIORIDAD,EMERGENCIA,coche_2,255.0
16/05/2026 10:40:50,CON_PRIORIDAD,EMERGENCIA,coche_3,305.0
16/05/2026 10:40:50,CON_PRIORIDAD,NORMAL,coche_5,369.0
16/05/2026 10:40:50,CON_PRIORIDAD,NORMAL,coche_4,377.0
16/05/2026 10:40:50,CON_PRIORIDAD,NORMAL,coche_6,443.0
